job_date,job_name,company_name,company_content,job_content,job_address,job_url,company_url
1/12,資料科學家,揚弈科技股份有限公司,待遇面議員工40人,"1.協助使用統計、數學或機器學習等方法分析資料
2.演算法設計、開發與驗證
3.Machine Learning & Deep Learning相關新技術研究、開發與應用

【NC-22025】",桃園市平鎮區經歷不拘大學,https://www.104.com.tw/job/7umg4?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bm36x?jobsource=2018indexpoc
1/12,邊緣運算韌體工程師,揚弈科技股份有限公司,待遇面議員工40人,"1. 微控制器韌體撰寫
2. 開發使用者介面設計
3. 電路硬體架設
4. 協助建置廠內IoT sensor韌體開發
5. 熟悉C、C++與Python程式語言及Linux系統
6. 研發自動化機台流程程序, 進行感測器韌體功能之撰寫

【NC-",桃園市平鎮區經歷不拘大學,https://www.104.com.tw/job/7umg8?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bm36x?jobsource=2018indexpoc
1/01,網頁後端軟體開發工程師,多利曼股份有限公司,"月薪45,000~65,000元員工20人遠端工作距捷運台北車站約390公尺","工作內容
1. 運用 Python 開發 API 及相關整合應用  
2. 與其他夥伴協作，完成 API 開發、串接、撰寫技術文件等工作


必要能力：
1. 熟悉 SQL 資料庫系統語法與 NoSQL、RDB 關聯式資料庫運用場景。
2. 熟悉",台北市中山區經歷不拘高中,https://www.104.com.tw/job/7uhbp?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6blzg6?jobsource=2018indexpoc
1/01,資深網頁後端軟體開發工程師,多利曼股份有限公司,"月薪65,000~80,000元員工20人遠端工作距捷運台北車站約390公尺","工作內容：
1. 運用 Python 開發 API 及相關整合應用  
2. 與其他夥伴協作，完成 API 開發、串接、撰寫技術文件等工作

必要能力：
1. 熟悉 SQL 資料庫系統語法與 NoSQL、RDB 關聯式資料庫運用場景。
2. 熟悉",台北市中山區經歷不拘高中,https://www.104.com.tw/job/7uhc5?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6blzg6?jobsource=2018indexpoc
1/17,《天下雜誌》編輯部長期工讀生,天下雜誌股份有限公司,時薪180元員工600人距捷運松江南京站約260公尺,"1. 協助財經週報與書摘撰寫，翻譯經濟學人文章。
2. 協助專題報導文字與數據資料蒐集分析工作。
3. 協助開發新專題報導的研究工作。
4. 協助整理與歸檔數據或文字資料。",台北市中山區經歷不拘碩士,https://www.104.com.tw/job/7urys?jobsource=2018indexpoc,https://www.104.com.tw/company/a4hvxa0?jobsource=2018indexpoc
10/07,數據處理專員實習生｜吃什麼數位科技股份有限公司(桃園青年職場搖籃計畫),桃園市政府青年事務局_111年桃園青年職場搖籃計畫,時薪176元距捷運環北站約470公尺,": 打造全台最大的美食平台。https://www.whatseat.com.tw/

【工作內容】
餐飲數據庫基本建設
1. 系統更新 (熟悉Python程式語言)
2. 每周固定抓取數據/整理數據 (熟悉Excel文書處理)
3. 官網更新維護",桃園市中壢區經歷不拘大學,https://www.104.com.tw/job/7oeek?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bm3wg?jobsource=2018indexpoc
1/17,【影像技術部】演算法工程師  ((中壢)),昇銳電子股份有限公司,待遇面議上市上櫃員工280人,"1.具備 影像處理知識
2.熟悉深度學習演算法
3.曾使用過平台 Tensorflow/Darknet/pytorch
4.具備的程式語言 C/C++/Python programming

*實際薪資將依學經歷及相關工作經驗按比例調整*",桃園市中壢區經歷不拘大學,https://www.104.com.tw/job/7oewr?jobsource=2018indexpoc,https://www.104.com.tw/company/adse7nk?jobsource=2018indexpoc
1/12,自動控制研發工程師,迅得機械股份有限公司,待遇面議上市上櫃員工890人,"1-自動化控制與工廠自全自動設備軟體開發。
2-自動控制系統與機械手臂整合。
3-各種網路通訊協議軟體開發與資料庫整合。
4-對於自動控制, 影像處理整合與軟體開發有興趣者佳。",桃園市中壢區經歷不拘碩士,https://www.104.com.tw/job/7usl1?jobsource=2018indexpoc,https://www.104.com.tw/company/wi4quiw?jobsource=2018indexpoc
1/19,【中壢過嶺】測試開發部 軟體工程師,宏致電子股份有限公司,待遇面議上市上櫃員工7000人,"1、軟體燒錄架設與管理
2、軟體障礙排除
3、與RD工程師溝通聯繫
4、依各產品、特殊需求修改程式設定


＊*＊實際薪資將依學經歷及相關工作核定*＊＊",桃園市中壢區經歷不拘大學,https://www.104.com.tw/job/7vekl?jobsource=2018indexpoc,https://www.104.com.tw/company/18ogquxc?jobsource=2018indexpoc
1/11,技術整合工程師,衛武資訊股份有限公司,待遇面議員工20人距捷運松江南京站約160公尺,"1. BIM軟體二次開發(Revit API、Dynamo程式開發等)
2. 整合及開發Autodesk、Microsoft各種專業軟體與服務
3. 其他BIM應用技術開發(無人機、3D掃描、遊戲引擎等)
4. 協助特殊BIM模型建置與應用",台北市中山區經歷不拘專科,https://www.104.com.tw/job/7vd8y?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bksdm?jobsource=2018indexpoc
